,RegionID,Parameters,MSE,AIC,Output
0,91670,"(6, 0, 0)",323301.6535781125,1533.9884969081227,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235a2f98>
1,95997,"(6, 0, 0)",2450590.7597427,1705.3235910057558,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232bca58>
2,95999,"(4, 0, 1)",1431971.3372093968,1705.1980702959913,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2358c9b0>
3,62043,"(6, 0, 1)",23233216.801991258,1934.9704127650878,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23581dd8>
4,91669,"(8, 0, 0)",657558.3470460125,1563.5856206937276,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232919e8>
5,96024,"(6, 1, 1)",771467.5210775067,1619.1292271943569,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2358cc18>
6,96015,"(4, 0, 0)",14574441.872297145,1892.8271337343701,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232862e8>
7,96043,"(6, 0, 0)",1174538.6453725498,1646.4221572693225,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232869b0>
8,91736,"(6, 0, 0)",190819.94160471042,1429.828123224726,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23274940>
9,62022,"(8, 0, 0)",115979204.92026937,2028.6855808426524,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2371a710>
10,62005,"(10, 0, 0)",24023736.748135693,1841.9677337786404,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232132e8>
11,62009,"(6, 0, 0)",16814842.08407193,1878.1709801742495,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232744a8>
12,62027,"(8, 1, 1)",74378705.07083198,1926.12659547387,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235adcc0>
13,91697,"(4, 0, 0)",453374.38872122887,1550.401726417249,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23730358>
14,96012,"(6, 0, 0)",2168820.393914015,1684.0969451828846,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23274048>
15,96013,"(10, 0, 0)",1036348.896666437,1556.280698765128,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2354cef0>
16,61803,"(6, 0, 0)",7912605.436232725,1933.6920058241622,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2354cc88>
17,95992,"(4, 1, 1)",810234.836474002,1623.8340311515585,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23598978>
18,96014,"(10, 0, 0)",1199328.1501735342,1587.0484547821668,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23de28d0>
19,91699,"(8, 0, 0)",469614.8187454696,1520.4906018520114,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23203748>
20,91665,"(8, 0, 0)",341577.47853674256,1480.7229015297219,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23735940>
21,95989,"(10, 0, 0)",1840367.2953493453,1654.2510788828058,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23de2c50>
22,95987,"(6, 0, 0)",7288584.452981401,1799.4222056717474,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c237e05f8>
23,96025,"(8, 0, 1)",547521.3377900138,1543.402438157081,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235c0978>
24,62023,"(4, 0, 0)",1229103.1039158797,1705.371880116584,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235a8860>
25,91694,"(10, 0, 1)",155522.05986707064,1406.5590227355535,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2357f3c8>
26,96026,"(6, 0, 0)",5203596.425168264,1789.1432271069561,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235c12e8>
27,96028,"(8, 0, 1)",502843.9283595794,1578.2606871333292,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23581f98>
28,96047,"(10, 0, 0)",17368939.34294034,1783.5906028832276,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c231fd7f0>
29,96018,"(10, 0, 0)",946247.7028242402,1573.143644026714,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c259244a8>
30,95983,"(8, 0, 0)",396982.1364533434,1509.4349644308961,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232e5dd8>
31,91721,"(4, 0, 0)",338831.7103629855,1496.3395371932056,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c259246a0>
32,96042,"(10, 1, 1)",540608.5459392603,1511.050143302589,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2356c2b0>
33,91700,"(10, 0, 1)",365398.2723513558,1500.0490353116343,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23de29b0>
34,62040,"(10, 0, 0)",14367987.514952917,1797.5296249133942,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2357bf60>
35,91741,"(6, 0, 0)",244934.95460149413,1515.1789307759025,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23569550>
36,61799,"(10, 0, 0)",8643085.459679324,1764.1505984763073,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c237c6e80>
37,95984,"(8, 0, 1)",305904.09400414367,1528.1764576256528,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235a8048>
38,62037,"(10, 0, 0)",37978096.882292196,1889.3627571395216,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235c0048>
39,96040,"(6, 0, 0)",240454.8746642218,1513.360832533737,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232b9630>
40,62048,"(8, 1, 0)",125545298.28549035,2033.0065976429091,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23598470>
41,62104,"(10, 0, 0)",2201369.5011454686,1637.5850571251965,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26070a20>
42,91723,"(8, 0, 1)",347650.6523605965,1493.8370626209833,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26073da0>
43,96000,"(10, 0, 0)",5468729.921062365,1736.499564555578,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23577f60>
44,62033,"(6, 0, 0)",120975662.67954993,2069.959534260133,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235a0208>
45,61781,"(8, 1, 1)",789828.4377515537,1575.8324334234621,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26073c18>
