,RegionID,Parameters,MSE,AIC,Output
0,62080,"(10, 0, 0)",2315512.755029234,1688.7334160556002,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235a06a0>
1,95988,"(10, 0, 0)",3292870.6170696956,1657.2927295756037,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26029cc0>
2,91662,"(8, 0, 1)",140826.47578209668,1413.8954791630795,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26026780>
3,91664,"(8, 1, 0)",74114.60448251899,1337.7943766047401,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c25dc9ba8>
4,91740,"(10, 0, 1)",127922.42210358664,1446.2581760856947,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c268ef3c8>
5,96019,"(10, 0, 0)",13512987.840099446,1838.908583394802,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c268d9908>
6,91702,"(8, 0, 1)",178906.15887018622,1474.87375042679,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26026d68>
7,62006,"(4, 0, 0)",11867373.359425303,1908.551575205511,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c237c6dd8>
8,96004,"(4, 1, 0)",695408.2294533409,1686.8006126350385,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2358ca90>
9,62101,"(10, 0, 0)",24143522.710935216,1845.1283958042554,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c270c3898>
10,61779,"(10, 0, 0)",779566.9581419075,1575.8846120061837,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2477bd68>
11,91727,"(4, 0, 0)",287748.47395765985,1523.7680882744223,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235c0320>
12,91666,"(2, 1, 1)",213978.7832639576,1484.2032901433004,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232bc470>
13,62068,"(8, 0, 1)",2702927.544940171,1755.1221495479613,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23735320>
14,62081,"(10, 0, 0)",2389045.3983949856,1673.8236974921442,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c25dcdcc0>
15,62182,"(8, 1, 0)",7958172.843103936,1869.1366662158812,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2355c5f8>
16,62032,"(8, 1, 0)",21999747.370155036,1837.046174938458,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2356e128>
17,62039,"(8, 1, 0)",2142089.9913451313,1664.4662847279035,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23278208>
18,91709,"(6, 1, 1)",162173.81201330665,1437.8549439314172,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c276d8ac8>
19,62119,"(4, 1, 1)",2918090.3276851587,1775.7551384514384,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23598080>
20,96282,"(10, 0, 0)",1322103.1380138625,1632.3940569004685,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23291940>
21,91735,"(4, 1, 1)",96828.26064073559,1404.3400839118383,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232824a8>
22,96411,"(8, 0, 1)",454328.6853577113,1610.2632119584573,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c232812b0>
23,91683,"(10, 0, 0)",72420.601838774,1345.3941987100602,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235a56a0>
24,96446,"(10, 0, 0)",3339578.8859141185,1685.7648532512342,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23569cc0>
25,91729,"(6, 0, 0)",397101.904896229,1518.632972784357,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c276f3198>
26,96027,"(10, 1, 0)",28931410.553535413,1846.7149781051435,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c25924160>
27,91678,"(10, 0, 1)",412399.8669533437,1493.665057997273,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235a0e80>
28,62034,"(4, 0, 0)",10704520.037348336,1903.3326246977108,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235a0ef0>
29,95996,"(6, 0, 0)",2849467.5910621854,1720.2314668721963,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235c5630>
30,62079,"(10, 0, 1)",1521554.3030915402,1654.470232478076,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c27b697f0>
31,62019,"(4, 1, 1)",4884905.358263063,1796.7100571293922,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235805f8>
32,96046,"(10, 0, 0)",1847392.0681130758,1604.9004469944248,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2695a828>
33,62093,"(10, 0, 0)",2294432.893708107,1663.8745825332653,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29b69cf8>
34,62180,"(10, 0, 1)",2779602.746482686,1758.5953804951487,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c237353c8>
35,62008,"(4, 0, 0)",14232297.710896354,1897.6604135551308,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29b97940>
36,91685,"(6, 0, 1)",426763.78174938913,1522.050312180259,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c268ef9b0>
37,62107,"(10, 0, 1)",657530.7643127125,1605.0004716867752,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c27a04da0>
38,95993,"(6, 1, 1)",4836724.513887438,1748.5386299063289,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c276d8b00>
39,96375,"(6, 0, 1)",407448.28632466827,1621.9059526919784,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23291550>
40,91742,"(6, 0, 0)",166844.95967560896,1484.3013667155226,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29b939e8>
41,96451,"(6, 0, 1)",1481659.3914871016,1696.6178264137993,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29b93630>
42,96038,"(6, 0, 0)",12052758.364335015,1850.869385375293,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29d47080>
43,62035,"(8, 1, 1)",1893523.104392922,1786.543914590186,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c237302b0>
44,96007,"(10, 0, 0)",3574454.20883227,1691.128968300259,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29d3dc50>
45,62066,"(10, 0, 0)",2471381.339358746,1719.8205642874707,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29d3d550>
