,RegionID,Parameters,MSE,AIC,Output
0,91670,"(4, 2, 1)",299443.08040302683,1535.2945684923106,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c276d8cc0>
1,95997,"(6, 0, 2)",2165542.401471326,1725.4389325885393,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2355ceb8>
2,95999,"(4, 1, 2)",1403272.2149970152,1689.6880946683568,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2358c668>
3,62043,"(4, 0, 2)",22780956.202347502,1963.4052344904208,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a32e860>
4,91669,"(10, 2, 0)",522144.5170494455,1503.4319641211418,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26ca00b8>
5,96024,"(8, 2, 2)",757739.4365094826,1559.6577042509332,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26cb9e80>
6,96015,"(1, 0, 2)",13702693.47747144,1963.5751805074517,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23f7d2b0>
7,96043,"(4, 1, 2)",1121404.6729270953,1668.343634334851,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a32e6a0>
8,91736,"(0, 2, 1)",173800.85129057328,1475.8167202160464,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26cb9518>
9,62022,"(2, 0, 2)",108923797.07550323,2163.7903771044093,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c235b3390>
10,62005,"(10, 0, 0)",24023736.748135693,1841.9677337786404,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c27abb0b8>
11,62009,"(6, 0, 0)",16814842.08407193,1878.1709801742495,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c27821b00>
12,62027,"(1, 0, 2)",68017411.07892536,2072.7134512249027,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26d12e10>
13,91697,"(4, 0, 2)",440156.0101866022,1553.0933179798217,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29f36780>
14,96012,"(1, 0, 2)",1995713.112442456,1741.040859245394,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c29f36160>
